feature,importance
feature_10,0.30704007
feature_17,0.16173223
feature_4,0.12682787
feature_8,0.07306608
feature_13,0.048640918
feature_28,0.04558987
feature_24,0.033843387
feature_1,0.031031923
feature_12,0.028167907
feature_20,0.026850723
feature_0,0.01986546
feature_27,0.017569326
feature_16,0.017151615
feature_14,0.012186726
feature_15,0.011934404
feature_11,0.011804961
feature_19,0.007878051
feature_18,0.005305126
feature_9,0.003755638
feature_5,0.003045063
feature_3,0.0026638159
feature_2,0.0020342434
feature_23,0.0006304314
feature_26,0.00045964788
feature_21,0.00037993927
feature_7,0.0002756382
feature_25,0.00026906258
feature_6,0.0
feature_22,0.0
