feature,importance
feature_15,0.11869139980431162
feature_0,0.10171370582436792
feature_9,0.07397385491815428
feature_4,0.0730010026430055
feature_20,0.07287484041984953
feature_12,0.07071314217205758
feature_2,0.06835430175407754
feature_3,0.06831178703901049
feature_18,0.05874485608498034
feature_14,0.04393347838613065
feature_1,0.039980615188642044
feature_5,0.03855827423551711
feature_28,0.03419673510062566
feature_10,0.029332210341219557
feature_11,0.02119485410298619
feature_17,0.019958114109887234
feature_27,0.01940726990513383
feature_19,0.017502803836593032
feature_24,0.016634057577108438
feature_8,0.003937478922924439
feature_13,0.003601780279943611
feature_16,0.003327437535604344
feature_26,0.0011884565344673504
feature_7,0.0005629485726359016
feature_6,0.00020353147524292906
feature_25,4.7068207335984574e-05
feature_22,3.780215620251225e-05
feature_23,1.0987589150782649e-05
feature_21,5.2052828335108615e-06
